id,source,type_of_material,web_url,snippet,headline,created_time,news_desk
1194,The New York Times,News,https://www.nytimes.com/2022/02/01/arts/music/j-dilla-time-book.html,"The Detroit musician wasn’t known to give many interviews, and his influence has grown exponentially since his 2006 death. “Dilla Time” by Dan Charnas explores what drove him.",J Dilla Was a Revered Rap Producer. A New Book Deepens His Legacy.,2/1/2022 19:53,Business
1195,The New York Times,News,https://www.nytimes.com/2022/02/01/movies/these-talkies-star-complicated-women-you-might-recognize.html,A MoMA series puts the spotlight on a Hollywood era when actresses broke free of stereotypes that would later dominate movies for decades.,These Talkies Star Complicated Women You Might Well Recognize,2/1/2022 20:47,Business
1196,The New York Times,briefing,https://www.nytimes.com/2022/02/01/briefing/putin-ukraine-supply-chain-covid.html,The Russian president accused the U.S. of inciting war in Ukraine.,Your Wednesday Briefing: Putin Blames the U.S.,2/1/2022 21:03,Business
1197,The New York Times,News,https://www.nytimes.com/2022/02/01/us/politics/national-debt-30-trillion.html,"The record red ink, fueled by spending to combat the coronavirus, comes as interest rates are expected to rise, which could add to America’s costs.",U.S. National Debt Tops $30 Trillion as Borrowing Surged Amid Pandemic,2/1/2022 21:10,Financial 
1198,The New York Times,News,https://www.nytimes.com/2022/02/01/us/politics/national-debt-30-trillion.html,"The record red ink, fueled by spending to combat the coronavirus, comes as interest rates are expected to rise, which could add to America’s costs.",U.S. National Debt Tops $30 Trillion as Borrowing Surged Amid Pandemic,2/1/2022 21:10,Business
1199,The New York Times,News,https://www.nytimes.com/2022/02/01/technology/google-alphabet-earnings.html,The earnings by the parent company of Google were above analysts’ estimates.,"Alphabet’s profit increased 36 percent, to $20.64 billion, in the fourth quarter.",2/1/2022 21:16,Financial 
1200,The New York Times,News,https://www.nytimes.com/2022/02/01/technology/google-alphabet-earnings.html,The earnings by the parent company of Google were above analysts’ estimates.,"Alphabet’s profit increased 36 percent, to $20.64 billion, in the fourth quarter.",2/1/2022 21:16,Business
1201,The New York Times,News,https://www.nytimes.com/2022/02/01/us/fertilizer-plant-fire-winston-salem-nc.html,"The fire broke out at the plant in Winston-Salem, where more than 6,000 people within a mile of the plant were told to leave over worries of a possible explosion.",Thousands Told to Evacuate as North Carolina Fertilizer Plant Burns,2/1/2022 21:49,Business
1202,The New York Times,News,https://www.nytimes.com/2022/02/01/sports/football/brian-flores-giants-discrimination-lawsuit.html,The former head coach of the Miami Dolphins claimed in a class-action lawsuit filed Tuesday that the N.F.L. discriminated against him and other Black coaches in their hiring practices.,"Brian Flores Sues N.F.L., Claiming Bias in Coaching Search",2/1/2022 21:55,Business
1203,The New York Times,briefing,https://www.nytimes.com/2022/02/01/briefing/russia-tom-brady-milky-way.html,Here’s what you need to know at the end of the day.,"Russia, Tom Brady, Milky Way: Your Tuesday Evening Briefing",2/1/2022 22:43,Business
1204,The New York Times,News,https://www.nytimes.com/2022/02/01/briefing/coronavirus-briefing-shots-for-young-kids.html,Pfizer asked the F.D.A. to authorize a vaccine for children under 5.,Coronavirus Briefing: Shots for Young Kids,2/1/2022 22:45,Business
1205,The New York Times,Obituary (Obit),https://www.nytimes.com/2022/02/01/arts/dance/donald-mahler-dead.html,"After dancing with the Metropolitan Opera Ballet and other companies, he became its director. He was also well known for his staging of works by Antony Tudor.","Donald Mahler, Prolific Ballet Choreographer, Dies at 88",2/1/2022 23:37,Business
1206,The New York Times,Op-Ed,https://www.nytimes.com/2022/02/01/opinion/spotify-joe-rogan-disinformation.html,The streaming service picks Joe Rogan over Neil Young and Joni Mitchell.,Spotify Backs Joe Rogan’s Disinformation Machine,2/1/2022 23:50,Business
