priceUsd,time,circulatingSupply,date
35688.7510857627175934,1642924800000,18937493.0000000000000000,2022-01-23T08:00:00.000Z
35819.4064628889053220,1642928400000,18937493.0000000000000000,2022-01-23T09:00:00.000Z
35997.8269154495943561,1642932000000,18937556.0000000000000000,2022-01-23T10:00:00.000Z
35988.0329020617167485,1642935600000,18937556.0000000000000000,2022-01-23T11:00:00.000Z
35800.7091103204281116,1642939200000,18937650.0000000000000000,2022-01-23T12:00:00.000Z
35928.2197670891091107,1642942800000,18937650.0000000000000000,2022-01-23T13:00:00.000Z
36090.2709686710916484,1642946400000,18937706.0000000000000000,2022-01-23T14:00:00.000Z
35412.3604847571376144,1642950000000,18937706.0000000000000000,2022-01-23T15:00:00.000Z
35409.6315404312779047,1642953600000,18937762.0000000000000000,2022-01-23T16:00:00.000Z
35402.9503946072211177,1642957200000,18937762.0000000000000000,2022-01-23T17:00:00.000Z
35502.1920273398019203,1642960800000,18937862.0000000000000000,2022-01-23T18:00:00.000Z
35110.6025501176682702,1642964400000,18937862.0000000000000000,2022-01-23T19:00:00.000Z
34872.5981306865116683,1642968000000,18937918.0000000000000000,2022-01-23T20:00:00.000Z
35354.5535065763104203,1642971600000,18937918.0000000000000000,2022-01-23T21:00:00.000Z
35449.0345965382605030,1642975200000,18937981.0000000000000000,2022-01-23T22:00:00.000Z
35572.9458699945736718,1642978800000,18937981.0000000000000000,2022-01-23T23:00:00.000Z
36389.3622500437891686,1642982400000,18938075.0000000000000000,2022-01-24T00:00:00.000Z
35958.7495929913386912,1642986000000,18938075.0000000000000000,2022-01-24T01:00:00.000Z
35729.7024660956409393,1642989600000,18938150.0000000000000000,2022-01-24T02:00:00.000Z
35320.9976635889416271,1642993200000,18938150.0000000000000000,2022-01-24T03:00:00.000Z
35462.8071983656878247,1642996800000,18938206.0000000000000000,2022-01-24T04:00:00.000Z
35217.0222211017648922,1643000400000,18938206.0000000000000000,2022-01-24T05:00:00.000Z
35279.2434421692101026,1643004000000,18938300.0000000000000000,2022-01-24T06:00:00.000Z
35359.8428308146950503,1643007600000,18938300.0000000000000000,2022-01-24T07:00:00.000Z
35037.1887816359236157,1643011200000,18938387.0000000000000000,2022-01-24T08:00:00.000Z
35098.2178381410515467,1643014800000,18938387.0000000000000000,2022-01-24T09:00:00.000Z
34644.0601065518192588,1643018400000,18938500.0000000000000000,2022-01-24T10:00:00.000Z
33505.3592676029613325,1643022000000,18938500.0000000000000000,2022-01-24T11:00:00.000Z
33797.4582246112947286,1643025600000,18938537.0000000000000000,2022-01-24T12:00:00.000Z
33478.9994883777846206,1643029200000,18938537.0000000000000000,2022-01-24T13:00:00.000Z
33533.0477169114529056,1643032800000,18938606.0000000000000000,2022-01-24T14:00:00.000Z
33740.6586295868386143,1643036400000,18938606.0000000000000000,2022-01-24T15:00:00.000Z
34258.0276233150091953,1643040000000,18938712.0000000000000000,2022-01-24T16:00:00.000Z
